,host_response_time,host_response_rate,host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,amenities_%
148,1,100,1,51.21046,4.43027,4,1.5,2,2.0,93.00,99.0,1,0,0,0,0,0,0,0,1,50.0
149,1,100,0,51.20355,4.4241,2,1.5,1,1.0,55.00,93.0,0,0,1,0,0,0,0,0,1,35.714285714285715
150,1,100,1,51.23109,4.418830000000001,3,1.0,2,2.0,79.00,96.0,1,0,0,0,0,0,0,0,1,64.28571428571429
151,1,100,0,51.21818,4.43156,4,1.0,2,2.0,80.00,93.0,1,0,0,0,0,0,0,0,1,50.0
152,0,0,0,51.22948,4.41787,2,1.0,1,1.0,59.00,0.0,1,0,0,0,0,0,0,0,1,0.0
153,0,0,0,51.19984,4.46793,2,2.0,1,1.0,70.00,0.0,0,0,1,0,0,0,0,0,1,21.428571428571427
154,2,100,0,51.221790000000006,4.37971,4,1.0,2,2.0,35.00,89.0,1,0,0,0,0,0,0,0,1,50.0
155,1,91,0,51.2147,4.41348,3,1.0,1,2.0,70.00,95.0,1,0,0,0,0,0,0,0,1,35.714285714285715
156,2,100,0,51.20689,4.40665,4,1.0,2,2.0,95.00,93.0,1,0,0,0,0,0,0,0,1,35.714285714285715
157,1,100,0,51.2124,4.39328,6,3.0,3,4.0,375.00,97.0,1,0,0,0,0,0,0,0,1,64.28571428571429
158,3,63,0,51.21835,4.400180000000001,5,1.0,1,2.0,55.00,93.0,1,0,0,0,0,0,0,0,1,50.0
159,1,100,0,51.21655,4.41352,3,1.5,1,2.0,80.00,97.0,1,0,0,0,0,0,0,0,1,35.714285714285715
160,0,0,0,51.20817,4.43181,4,1.0,0,1.0,25.00,0.0,1,0,0,0,0,0,0,0,1,21.428571428571427
161,0,0,0,51.19766,4.442819999999999,4,1.0,1,1.0,42.00,91.0,1,0,0,0,0,0,0,0,1,35.714285714285715
162,1,100,1,51.21464,4.43446,7,2.5,4,5.0,240.00,95.0,1,0,0,0,0,0,0,0,1,35.714285714285715
163,3,100,0,51.21385,4.40035,2,1.0,1,1.0,89.00,94.0,1,0,0,0,0,0,0,0,1,35.714285714285715
164,2,100,1,51.17887,4.36301,4,2.0,2,2.0,50.00,95.0,1,0,0,0,0,0,0,0,1,50.0
165,2,100,0,51.21174,4.39745,2,1.0,1,1.0,90.00,96.0,1,0,0,0,0,0,0,0,1,35.714285714285715
166,0,0,0,51.23264,4.4114,2,1.0,1,1.0,60.00,91.0,1,0,0,0,0,0,0,0,1,57.14285714285714
167,2,100,1,51.22019,4.4,2,1.0,1,1.0,85.00,96.0,1,0,0,0,0,0,0,0,1,50.0
168,2,100,1,51.21873,4.39963,5,1.5,2,3.0,115.00,99.0,1,0,0,0,0,0,0,0,1,50.0
169,2,90,1,51.220909999999996,4.4164,2,1.0,1,2.0,85.00,97.0,0,0,1,0,0,0,0,0,1,50.0
170,2,100,0,51.22156,4.40597,2,1.0,1,1.0,59.00,0.0,0,0,1,0,0,0,0,0,1,28.57142857142857
171,2,100,0,51.21464,4.43711,2,1.0,1,1.0,55.00,93.0,1,0,0,0,0,0,0,0,1,35.714285714285715
172,0,0,0,51.193690000000004,4.41979,4,1.0,2,2.0,60.00,95.0,1,0,0,0,0,0,0,0,1,35.714285714285715
173,2,100,1,51.19597,4.42232,5,1.0,1,4.0,73.00,96.0,1,0,0,0,0,0,0,0,1,14.285714285714285
174,2,100,0,51.214909999999996,4.39732,2,1.0,1,1.0,90.00,98.0,1,0,0,0,0,0,0,0,1,57.14285714285714
175,0,0,0,51.21484,4.431690000000001,2,1.0,1,1.0,70.00,94.0,1,0,0,0,0,0,0,0,1,42.857142857142854
176,2,100,0,51.19612,4.46167,3,1.0,1,3.0,79.00,94.0,1,0,0,0,0,0,0,0,1,57.14285714285714
177,1,100,0,51.2381,4.44085,1,1.5,1,2.0,50.00,97.0,0,0,1,0,0,0,0,0,1,42.857142857142854
178,3,100,0,51.21123,4.4372300000000005,2,1.0,1,1.0,60.00,94.0,1,0,0,0,0,0,0,0,1,57.14285714285714
179,0,0,0,51.20872,4.39228,4,1.0,2,2.0,80.00,97.0,1,0,0,0,0,0,0,0,1,50.0
180,0,0,0,51.23206,4.41274,2,1.0,1,1.0,90.00,100.0,1,0,0,0,0,0,0,0,1,50.0
181,3,91,0,51.21902,4.40909,6,1.0,2,2.0,99.00,91.0,1,0,0,0,0,0,0,0,1,50.0
182,3,91,0,51.21857,4.408980000000001,6,1.0,2,2.0,99.00,82.0,1,0,0,0,0,0,0,0,1,50.0
183,2,100,0,51.210229999999996,4.41512,8,1.0,3,8.0,90.00,93.0,1,0,0,0,0,0,0,0,1,50.0
184,3,91,0,51.21837,4.40868,4,1.0,1,1.0,64.00,84.0,1,0,0,0,0,0,0,0,1,50.0
185,1,100,0,51.182359999999996,4.3893699999999995,4,1.5,1,1.0,75.00,94.0,1,0,0,0,0,0,0,0,1,57.14285714285714
186,1,100,0,51.22076,4.39855,2,1.0,0,1.0,118.00,95.0,1,0,0,0,0,0,0,0,1,42.857142857142854
187,1,100,1,51.22319,4.48347,3,1.0,1,2.0,135.00,86.0,1,0,0,0,0,0,0,0,1,64.28571428571429
188,2,100,1,51.2061,4.40915,4,1.5,1,2.0,75.00,100.0,1,0,0,0,0,0,0,0,1,50.0
189,2,100,1,51.213359999999994,4.40415,6,1.0,2,3.0,115.00,99.0,1,0,0,0,0,0,0,0,1,64.28571428571429
190,0,0,0,51.21976,4.42148,4,1.5,2,2.0,65.00,0.0,1,0,0,0,0,0,0,0,1,42.857142857142854
191,1,100,1,51.22075,4.4785699999999995,1,1.0,1,1.0,30.00,94.0,0,0,1,0,0,0,0,0,1,14.285714285714285
192,2,100,1,51.19461,4.42201,8,2.0,4,5.0,240.00,98.0,1,0,0,0,0,0,0,0,1,42.857142857142854
193,3,80,0,51.21496,4.40846,2,1.5,1,1.0,30.00,92.0,0,0,1,0,0,0,0,0,1,50.0
194,1,100,1,51.23273,4.40394,3,1.0,1,1.0,65.00,95.0,1,0,0,0,0,0,0,0,1,42.857142857142854
195,3,50,0,51.21331,4.43286,2,1.0,1,1.0,50.00,94.0,0,0,1,0,0,0,0,0,1,21.428571428571427
196,0,0,0,51.20299,4.42495,4,1.0,2,3.0,175.00,96.0,1,0,0,0,0,0,0,0,1,35.714285714285715
197,0,0,0,51.21562,4.4347199999999996,2,1.0,1,1.0,65.00,0.0,1,0,0,0,0,0,0,0,1,21.428571428571427
198,2,100,0,51.20649,4.3928400000000005,2,1.0,0,1.0,75.00,92.0,1,0,0,0,0,0,0,0,1,50.0
199,2,100,0,51.22801,4.4168400000000005,2,1.0,1,1.0,80.00,96.0,1,0,0,0,0,0,0,0,1,42.857142857142854
200,1,97,0,51.21134,4.44073,2,0.5,1,1.0,35.00,91.0,0,0,1,0,0,0,1,0,0,35.714285714285715
201,1,100,0,51.22094,4.41153,4,1.0,1,1.0,45.00,94.0,1,0,0,0,0,0,0,0,1,42.857142857142854
202,0,0,0,51.208040000000004,4.4142,4,1.0,2,3.0,45.00,87.0,1,0,0,0,0,0,0,0,1,28.57142857142857
203,0,0,0,51.222390000000004,4.40564,2,1.5,1,1.0,65.00,97.0,1,0,0,0,0,0,0,0,1,42.857142857142854
